Year,GDP
1961,49.55705018
1962,46.6851785
1963,50.09730327
1964,59.06225489
1965,69.70915312
1966,75.87943478
1967,72.05702856
1968,69.99349789
1969,78.71882048
1970,91.50621131
1971,98.56202384
1972,112.1598136
1973,136.7698784
1974,142.2547421
1975,161.1624922
1976,151.6276874
1977,172.3490143
1978,148.3821115
1979,176.8565254
1980,189.6499925
1981,194.3690491
1982,203.5496272
1983,228.9502008
1984,258.0821473
1985,307.4795859
1986,298.805793
1987,271.3497735
1988,310.7222137
1989,345.9574859
1990,358.97323
1991,381.4547038
1992,424.9340659
1993,442.8745964
1994,562.2611299
1995,732.0320452
1996,860.844098
1997,958.1594248
1998,1025.276902
1999,1089.447109
2000,1205.260678
2001,1332.23472
2002,1461.906488
2003,1649.928718
2004,1941.745602
2005,2268.598904
2006,2729.784032
2007,3523.094315
2008,4558.431073
2009,5059.419738
2010,6039.658508
2011,7492.432098
2012,8461.623163
2013,9490.6026
2014,10351.11176
2015,10866.444
