,az_lons,co_lons,nm_lons,ut_lons,az_lats,co_lats,nm_lats,ut_lats
0,-114.63332,-109.04984,-103.55583,-114.04392,34.87057,38.215,32.00032,40.68928
1,-114.63349,-109.06017,-104.00265,-114.04391,35.00186,38.40118,32.00001,40.68985
2,-114.63423,-109.06015,-104.64165,-114.04375,35.00332,38.60929,32.00041,40.76026
3,-114.60899,-109.05655,-105.14679,-114.04195,35.07971,38.81393,32.0005,41.05548
4,-114.63064,-109.05305,-105.90075,-114.04061,35.11791,38.95788,32.00198,41.36
5,-114.57354,-109.05158,-106.55721,-114.04055,35.14231,39.11656,32.00076,41.59062
6,-114.58031,-109.05119,-106.63119,-114.0398,35.21811,39.22605,31.98981,41.89425
7,-114.61121,-109.05077,-106.62216,-114.04172,35.37012,39.36423,31.93601,41.99372
8,-114.6768,-109.05132,-106.63325,-114.0391,35.49125,39.56752,31.90997,41.99367
9,-114.66076,-109.05077,-106.61103,-113.80254,35.5417,39.79876,31.84661,41.98895
10,-114.65449,-109.05087,-106.54568,-113.64886,35.60517,40.03782,31.8054,41.99102
11,-114.68702,-109.05088,-106.52834,-113.49562,35.66942,40.18844,31.78318,41.99331
12,-114.69704,-109.05093,-106.52861,-113.36362,35.73579,40.2929,31.78328,41.99384
13,-114.70415,-109.05088,-106.53181,-113.20505,35.81412,40.41493,31.78391,41.99645
14,-114.67489,-109.05051,-106.55963,-113.10627,35.86436,40.50615,31.78394,41.99735
15,-114.70883,-109.04899,-106.56993,-112.96233,35.9167,40.68445,31.78395,41.99841
16,-114.74365,-109.04907,-106.60042,-112.83266,35.98542,40.87296,31.78399,41.99938
17,-114.73513,-109.05008,-106.61408,-112.78175,36.05493,41.00066,31.784,41.99973
18,-114.6729,-109.03134,-106.62967,-112.68558,36.11546,41.00051,31.78409,42.00021
19,-114.51122,-108.83854,-106.67613,-112.58229,36.15058,41.00013,31.78395,42.00054
20,-114.32346,-108.6996,-106.68194,-112.45023,36.10119,41.0001,31.78393,42.00099
21,-114.22646,-108.59802,-106.7505,-112.26534,36.01461,40.99996,31.78371,42.00111
22,-114.1139,-108.46524,-106.75874,-112.1985,36.09833,41.00008,31.78394,42.00116
23,-114.04404,-108.25764,-106.77057,-112.10309,36.21464,41.00011,31.78404,41.99763
24,-114.04338,-108.10567,-106.82052,-111.98965,36.37619,41.00139,31.78385,41.99834
