,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status
237,Teacher Compensation,Instruction,School Reported,School,Alternative,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating
466,Other Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
784,Professional Development,ISPD,Leadership & Management,Non-School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating
1786,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
2643,Recruitment,ISPD,School on Central Budgets,Non-School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
3602,Social & Emotional,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
5196,Utilities,O&M,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
5233,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating
6496,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,(Exec) Director,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
8074,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
9209,Student Assignment,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
9817,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Social Worker,Base Salary/Compensation,PreK,PreK-12 Operating
13881,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
13896,Legal,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
13933,Research & Accountability,Leadership,Leadership & Management,Non-School,Poverty,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
14337,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
16001,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
16249,Teacher Compensation,Instruction,School Reported,School,At Risk,Teacher,Base Salary/Compensation,PreK,PreK-12 Operating
16307,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
17098,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating
17340,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12"
21426,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
