country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Albania,2,12,0,0,0,8,0,0,0,0,0,0,1,0,10,0,4,0,5,7,0,0,3,0,6,0
Armenia,12,0,4,0,0,0,0,6,0,7,8,0,3,0,0,0,0,5,1,12,0,0,2,0,10,0
Australia,0,12,3,0,12,10,0,0,0,7,0,0,0,0,0,0,1,6,0,5,0,2,0,0,8,4
Austria,0,3,12,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,12,8,4,0,7,6,10,0
Azerbaijan,0,2,0,12,0,8,0,0,0,4,1,0,7,6,0,0,0,5,3,12,0,0,0,0,10,0
Belarus,7,1,0,8,0,4,0,0,0,0,0,0,3,0,0,5,0,0,6,12,0,0,2,0,10,0
Belgium,7,4,3,0,12,5,0,0,0,8,0,0,0,0,0,0,0,0,12,6,0,0,1,10,2,0
Bosnia & Herzegovina,0,3,5,8,0,2,10,0,0,4,0,0,1,0,0,0,0,0,0,6,12,0,0,0,7,0
Bulgaria,8,5,4,1,0,12,0,7,0,0,0,0,0,2,0,0,0,0,6,12,0,0,3,0,10,0
Croatia,0,5,6,0,0,1,12,0,0,2,0,0,3,0,0,0,0,0,4,8,12,0,7,0,10,0
Cyprus,8,5,0,0,0,12,0,12,0,6,0,0,4,0,0,0,3,0,2,10,0,0,1,0,7,0
Czech Republic,8,1,4,6,0,5,0,0,12,0,0,0,3,0,0,0,0,0,7,10,0,0,2,0,12,0
Denmark,0,10,1,0,8,0,0,0,0,2,0,0,0,0,0,0,6,0,5,4,0,0,12,7,3,0
Estonia,0,4,6,0,0,0,0,3,0,2,0,0,0,0,0,7,5,0,1,12,0,0,10,0,8,0
F.Y.R. Macedonia,7,3,0,0,4,10,5,0,0,0,0,0,0,0,1,0,0,0,2,8,12,0,0,0,6,0
Finland,0,7,6,0,0,4,0,1,0,3,0,0,0,0,0,2,0,0,5,8,0,0,10,0,12,0
France,12,0,8,0,4,5,0,0,0,12,0,0,0,3,0,0,0,0,7,6,0,1,2,0,10,0
Georgia,12,1,0,7,0,3,0,0,0,0,12,0,2,0,0,6,5,0,4,8,0,0,0,0,10,0
Germany,2,5,7,0,0,4,0,0,0,0,0,12,0,0,1,0,0,0,10,12,0,0,8,3,6,0
Greece,8,5,1,0,0,7,0,12,0,4,0,0,2,0,0,0,0,0,3,10,0,0,0,0,6,0
Hungary,0,3,6,0,0,4,0,5,0,1,0,0,12,0,0,0,0,0,8,10,0,0,7,2,12,0
Iceland,0,8,2,1,3,0,0,0,0,5,0,0,0,0,0,0,4,0,10,7,0,0,12,6,0,0
Ireland,0,6,1,0,0,5,0,0,0,0,0,0,0,0,0,7,12,0,10,8,0,0,2,0,4,3
Israel,6,5,3,2,1,7,0,0,0,12,0,0,0,12,0,0,0,0,4,10,0,0,0,0,8,0
Italy,1,0,0,0,0,7,0,6,0,5,3,0,0,0,12,0,2,0,10,8,4,0,0,0,12,0
Latvia,0,6,4,3,0,1,0,0,0,0,2,0,0,0,0,12,8,0,5,12,0,0,7,0,10,0
Lithuania,0,5,1,0,0,0,0,0,0,3,4,0,2,0,0,12,12,0,6,8,0,0,7,0,10,0
Malta,0,12,0,6,0,8,0,0,0,2,0,0,5,0,7,0,0,12,0,10,0,0,0,3,4,1
Moldova,7,5,4,8,0,2,0,0,0,6,0,0,0,0,0,1,3,0,0,12,0,0,0,0,10,0
Montenegro,0,0,0,7,0,5,6,0,0,1,0,0,3,0,4,0,2,0,0,10,12,0,0,0,8,0
Norway,0,8,0,0,2,5,0,0,0,1,0,0,0,0,0,3,12,0,10,6,0,0,7,0,4,0
Poland,2,7,4,0,0,3,0,1,0,0,0,0,6,0,0,5,0,0,12,8,0,0,10,0,12,0
Russia,12,4,8,6,0,0,0,7,0,3,0,0,0,0,0,1,0,0,5,12,0,0,2,0,10,0
San Marino,2,5,0,0,0,3,0,0,0,0,0,0,1,0,0,6,8,0,7,10,0,0,4,0,12,0
Serbia,2,6,0,0,5,8,4,3,0,0,0,0,10,0,0,0,0,0,0,12,12,0,1,0,7,0
Slovenia,0,3,6,0,0,2,8,0,0,0,0,0,0,0,1,0,0,0,4,10,12,0,5,0,7,0
Spain,6,4,2,0,0,12,0,0,0,10,0,0,0,0,3,0,0,0,5,8,0,12,1,0,7,0
Sweden,0,12,5,0,0,4,0,0,0,3,0,0,0,0,0,0,6,0,10,8,0,1,12,2,7,0
Switzerland,0,1,10,0,0,0,0,0,0,3,0,8,0,0,7,0,0,0,5,6,12,2,0,0,4,0
The Netherlands,8,5,6,0,12,1,0,0,0,4,0,0,0,0,0,0,0,0,10,3,0,0,2,12,7,0
Ukraine,7,4,0,10,0,2,0,0,0,0,6,0,0,0,0,5,3,0,8,12,0,0,1,0,12,0
United Kingdom,0,6,0,0,0,8,0,2,0,0,0,0,0,0,0,3,12,0,10,7,0,4,1,0,5,12
