artist_offset,user_offset,playcount
0,2,105
0,15,165
0,20,91
0,21,98
0,29,120
0,48,236
0,70,67
0,95,77
0,96,93
0,109,98
0,113,63
0,126,63
0,127,429
0,130,151
0,132,103
0,152,83
0,153,65
0,162,54
0,181,456
0,183,592
0,186,111
0,193,158
0,194,53
0,195,216
0,201,89
0,241,82
0,250,65
0,267,51
0,273,74
0,275,108
0,276,68
0,277,135
0,280,175
0,295,77
0,302,58
0,314,65
0,322,56
0,325,59
0,342,63
0,343,99
0,351,51
0,391,56
0,400,55
0,476,166
1,1,211
1,24,287
1,27,66
1,35,73
1,52,160
1,62,208
1,77,82
1,95,2370
1,101,51
1,102,67
1,106,89
1,143,90
1,147,120
1,149,71
1,152,71
1,165,63
1,224,197
1,242,79
1,261,153
1,278,97
1,279,80
1,317,74
1,333,219
1,351,86
1,373,196
1,435,56
1,446,148
1,448,166
1,476,234
1,486,93
1,493,270
1,495,105
1,496,97
1,0,128
2,15,437
2,42,128
2,43,349
2,56,152
2,72,78
2,82,74
2,96,477
2,99,697
2,109,101
2,112,222
2,125,182
2,126,461
2,151,71
2,182,53
2,202,136
2,205,51
2,220,147
2,234,75
2,251,64
2,255,193
2,277,208
2,284,124
2,302,122
2,304,52
2,305,146
2,306,60
2,376,259
2,401,155
2,402,230
2,406,79
2,419,63
2,425,54
2,429,54
2,433,134
2,448,87
3,19,2087
3,22,92
3,36,634
3,53,65
3,65,55
3,101,69
3,118,53
3,156,676
3,165,64
3,171,120
3,174,205
3,206,52
3,236,107
3,278,82
3,319,144
3,329,108
3,420,98
3,443,82
3,452,107
3,461,59
4,33,116
4,36,83
4,66,473
4,80,51
4,94,57
4,114,187
4,179,59
4,206,79
4,312,210
4,410,77
4,438,195
4,474,65
5,45,559
5,48,208
5,57,410
5,81,62
5,96,324
5,99,115
5,130,58
5,133,204
5,151,88
5,185,73
5,243,226
5,262,81
5,322,85
5,343,193
5,494,311
6,34,72
6,35,51
6,37,65
6,47,108
6,67,148
6,77,299
6,167,59
6,201,87
6,207,76
6,407,107
6,464,144
7,34,87
7,48,828
7,67,144
7,89,61
7,128,106
7,140,897
7,186,55
7,211,69
7,247,88
7,254,239
7,366,148
8,36,253
8,37,55
8,140,87
8,156,93
8,162,54
8,257,140
8,294,101
8,299,89
8,343,61
8,404,268
8,432,76
8,452,58
8,453,110
9,24,95
9,54,283
9,55,54
9,64,111
9,75,2179
9,94,63
9,114,255
9,128,85
9,152,114
9,170,140
9,200,93
9,201,101
9,226,548
9,227,2366
9,231,55
9,237,505
9,242,195
9,253,179
9,261,95
9,269,148
9,291,69
9,307,232
9,312,298
9,322,209
9,332,80
9,353,225
9,359,726
9,373,209
9,394,272
9,409,77
9,410,581
9,437,291
9,459,459
9,469,316
10,24,253
10,35,56
10,50,114
10,54,631
10,75,2425
10,94,332
10,148,208
